Matchup,TB @ DET
Pitcher,Troy Melton
Pitcher Team,DET
Opposing Team,TB

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,10.0,1.60,="10-40",.250,.450,0.200,2,2,0,2,19.1,6,.362,.812
Batting Second,12.2,0.79,="8-44",.182,.295,0.113,1,2,0,1,21.7,2,.217,.512
Batting Third,10.1,1.26,="6-37",.162,.297,0.135,1,2,0,2,13.6,7,.295,.592
Batting Fourth,11.2,0.86,="6-40",.150,.250,0.100,1,1,0,2,20.5,4,.227,.477
Batting Fifth,9.2,0.83,="7-36",.194,.361,0.167,1,3,0,4,23.1,1,.231,.592
Batting Sixth,9.1,1.07,="7-33",.212,.424,0.212,1,2,1,4,27.8,3,.278,.702
Batting Seventh,7.1,1.64,="9-31",.290,.452,0.162,1,2,0,2,14.7,3,.353,.805
Batting Eighth,8.0,1.13,="7-31",.226,.323,0.097,1,0,0,1,27.3,2,.273,.596
Batting Ninth,10.1,0.29,="3-32",.094,.219,0.125,1,1,0,1,28.1,0,.094,.313

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Yandy Diaz RHB,Batting First ​,="116-377",.308,.454,0.146,12,17,1,54,14.8,35,.374,.828
Liam Hicks LHB,Batting First ​,="31-102",.304,.422,0.118,2,4,1,10,9.4,13,.388,.810
Chandler Simpson LHB,Batting First ​,="39-156",.250,.295,0.045,0,3,2,7,13.3,7,.280,.575
Jonathan Aranda LHB,Batting Second ​,="87-307",.283,.414,0.131,9,13,0,44,22.3,30,.355,.769
Junior Caminero RHB,Batting Third ​,="71-255",.278,.576,0.298,21,11,1,51,19.5,36,.372,.948
Ryan Vilade RHB,Batting Fourth ​,="30-89",.337,.618,0.281,6,5,1,21,17.3,11,.408,1.026
Jonny DeLuca RHB,Batting Fifth ​,="28-98",.286,.429,0.143,2,8,0,17,18.1,6,.327,.756
Cedric Mullins LHB,Batting Seventh ​,="23-113",.204,.345,0.141,4,2,1,13,18.9,9,.272,.617
Nick Fortes RHB,Batting Eighth ​,="31-130",.238,.300,0.062,1,5,0,12,13.6,3,.275,.575
Richie Palacios LHB,Batting Eighth ​,="20-85",.235,.329,0.094,1,5,0,11,14.1,12,.327,.656
Kenny Piper RHB,Batting Eighth ​,="1-4",.250,.250,0.000,0,0,0,0,0.0,1,.400,.650
Jorge Mateo RHB,Batting Ninth ​,="18-76",.237,.303,0.066,1,2,0,4,32.9,3,.266,.569
Taylor Walls SHB,Batting Ninth ​,="45-216",.208,.282,0.074,2,6,2,24,24.8,27,.297,.579
