Matchup,TB @ NYY
Pitcher,Nick Martinez
Pitcher Team,TB
Opposing Team,NYY

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,21.0,1.24,="22-84",.262,.381,0.119,1,7,0,4,19.1,4,.292,.673
Batting Second,20.0,1.35,="24-83",.289,.470,0.181,4,3,0,7,16.1,3,.322,.792
Batting Third,20.2,1.21,="23-81",.284,.457,0.173,3,3,1,10,9.5,2,.310,.767
Batting Fourth,17.0,1.65,="24-76",.316,.526,0.210,4,4,0,9,22.5,4,.350,.876
Batting Fifth,20.1,0.79,="14-73",.192,.342,0.150,3,2,0,5,12.0,2,.213,.555
Batting Sixth,20.2,0.77,="13-68",.191,.309,0.118,1,3,1,6,11.0,3,.222,.531
Batting Seventh,15.1,1.50,="20-65",.308,.492,0.184,3,3,0,5,13.2,3,.338,.830
Batting Eighth,18.1,0.60,="9-62",.145,.177,0.032,0,2,0,0,12.5,2,.172,.349
Batting Ninth,16.2,0.66,="10-58",.172,.310,0.138,2,2,0,5,16.1,1,.197,.507

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Paul Goldschmidt RHB,Batting First ​,="39-139",.281,.525,0.244,9,5,1,21,19.7,17,.363,.888
Luis Garcia Jr. LHB,Batting Second ​,="84-280",.300,.607,0.307,20,16,5,66,17.5,11,.325,.932
Ben Rice LHB,Batting Second ​,="80-325",.246,.486,0.240,19,15,3,52,24.7,39,.332,.818
Amed Rosario RHB,Batting Third ​,="10-50",.200,.280,0.080,1,1,0,1,30.0,0,.200,.480
Heliot Ramos RHB,Batting Third ​,="24-114",.211,.325,0.114,3,4,0,14,25.6,17,.323,.648
Cody Bellinger LHB,Batting Fourth ​,="53-214",.248,.411,0.163,7,14,0,32,18.1,32,.341,.752
Spencer Jones LHB,Batting Sixth ​,="17-73",.233,.370,0.137,2,4,0,7,43.2,8,.309,.679
George Lombard Jr. RHB,Batting Sixth ​,="10-52",.192,.346,0.154,2,2,0,7,20.0,5,.271,.617
Anthony Volpe RHB,Batting Seventh ​,="16-55",.291,.345,0.054,0,3,0,6,23.7,4,.339,.684
Ryan McMahon LHB,Batting Eighth ​,="29-129",.225,.380,0.155,4,8,0,17,28.6,9,.279,.659
Max Schuemann RHB,Batting Eighth ​,="9-23",.391,.696,0.305,1,4,0,7,16.7,6,.533,1.229
Ali Sanchez RHB,Batting Ninth ​,="14-57",.246,.333,0.087,1,2,0,7,30.6,1,.279,.612
Austin Wells LHB,Batting Ninth ​,="27-176",.153,.290,0.137,7,3,0,14,27.2,15,.227,.517
Jose Caballero RHB,Batting Ninth ​,="33-132",.250,.348,0.098,3,4,0,13,17.2,8,.313,.661
