Matchup,TB @ SEA
Pitcher,Griffin Jax
Pitcher Team,TB
Opposing Team,SEA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.2,0.95,="9-45",.200,.400,0.200,3,0,0,7,26.0,3,.245,.645
Batting Second,11.0,1.36,="11-42",.262,.500,0.238,3,1,0,6,22.9,4,.333,.833
Batting Third,11.2,1.03,="9-42",.214,.381,0.167,2,1,0,6,30.4,3,.261,.642
Batting Fourth,10.1,1.45,="10-38",.263,.526,0.263,2,4,0,5,20.5,5,.364,.890
Batting Fifth,7.1,2.45,="14-36",.389,.639,0.250,2,3,0,3,27.5,4,.450,1.089
Batting Sixth,9.2,1.24,="9-36",.250,.333,0.083,1,0,0,2,33.3,3,.308,.641
Batting Seventh,10.1,0.87,="8-35",.229,.371,0.142,1,2,0,7,28.9,1,.237,.608
Batting Eighth,10.0,0.70,="4-34",.118,.118,0.000,0,0,0,3,28.9,3,.189,.307
Batting Ninth,8.1,1.32,="7-29",.241,.276,0.035,0,1,0,3,19.4,4,.324,.600

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Taylor Ward RHB,Batting First ​,="64-265",.242,.340,0.098,5,11,0,21,21.7,43,.351,.691
Brendan Donovan LHB,Batting First ​,="20-70",.286,.500,0.214,3,4,1,8,12.9,9,.400,.900
Cal Raleigh SHB,Batting Second ​,="30-176",.170,.335,0.165,8,5,0,21,30.8,23,.264,.599
Julio Rodriguez RHB,Batting Second ​,="49-199",.246,.397,0.151,7,9,0,22,17.7,16,.305,.702
Dominic Canzone LHB,Batting Third ​,="22-103",.214,.369,0.155,4,4,0,13,21.1,11,.289,.658
Josh Naylor LHB,Batting Fourth ​,="51-186",.274,.382,0.108,5,5,0,21,15.0,18,.343,.725
Randy Arozarena RHB,Batting Fifth ​,="47-149",.315,.456,0.141,3,10,1,14,23.7,16,.399,.855
Jhonny Pereda RHB,Batting Eighth ​,="12-47",.255,.319,0.064,1,0,0,3,18.0,3,.300,.619
Weston Wilson RHB,Batting Eighth ​,="12-48",.250,.396,0.146,2,1,0,4,28.3,5,.321,.717
Victor Robles RHB,Batting Eighth ​,="9-45",.200,.244,0.044,0,2,0,2,20.0,3,.265,.509
Cole Young LHB,Batting Eighth ​,="24-95",.253,.358,0.105,2,4,0,13,22.3,5,.301,.659
Leo Rivas SHB,Batting Ninth ​,="11-86",.128,.174,0.046,0,2,1,7,29.2,14,.269,.443
Colt Emerson LHB,Batting Ninth ​,="32-156",.205,.385,0.180,7,5,1,14,30.2,12,.263,.648
