Matchup,TEX @ MIA
Pitcher,Tyler Phillips
Pitcher Team,MIA
Opposing Team,TEX

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,6.0,1.00,="5-22",.227,.455,0.228,1,2,0,2,25.0,1,.292,.747
Batting Second,5.1,2.81,="9-23",.391,.652,0.261,1,3,0,3,17.2,6,.517,1.169
Batting Third,7.0,1.29,="3-24",.125,.167,0.042,0,1,0,1,20.0,6,.300,.467
Batting Fourth,5.1,1.69,="7-23",.304,.435,0.131,1,0,0,5,28.0,2,.360,.795
Batting Fifth,5.0,1.60,="6-21",.286,.571,0.285,0,2,2,4,17.4,2,.348,.919
Batting Sixth,7.1,0.55,="3-26",.115,.115,0.000,0,0,0,1,18.5,1,.148,.263
Batting Seventh,5.0,2.20,="7-21",.333,.667,0.334,2,1,0,3,19.2,4,.440,1.107
Batting Eighth,6.1,0.32,="1-21",.048,.048,0.000,0,0,0,0,17.4,1,.091,.139
Batting Ninth,4.1,1.85,="4-17",.235,.235,0.000,0,0,0,0,14.3,4,.381,.616

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Joc Pederson LHB,Batting First ​,="25-95",.263,.568,0.305,7,4,2,17,19.3,11,.352,.920
Brandon Nimmo LHB,Batting First ​,="42-152",.276,.414,0.138,4,7,1,12,19.1,17,.358,.772
Josh Jung RHB,Batting Second ​,="25-76",.329,.447,0.118,2,3,0,11,14.9,8,.402,.849
Justin Foscue RHB,Batting Second ​,="5-17",.294,.353,0.059,0,1,0,1,31.6,1,.316,.669
Wyatt Langford RHB,Batting Second ​,="10-62",.161,.306,0.145,1,2,2,3,24.2,4,.212,.518
Jake Burger RHB,Batting Fourth ​,="32-135",.237,.400,0.163,5,7,0,15,29.0,9,.290,.690
Ezequiel Duran RHB,Batting Fifth ​,="24-76",.316,.513,0.197,2,5,2,19,22.6,8,.381,.894
Alejandro Osuna LHB,Batting Sixth ​,="9-35",.257,.314,0.057,0,2,0,4,15.8,1,.297,.611
Jarred Kelenic LHB,Batting Seventh ​,="9-30",.300,.467,0.167,1,2,0,4,34.4,2,.344,.811
Cody Freeman RHB,Batting Seventh ​,="2-7",.286,.286,0.000,0,0,0,0,0.0,1,.375,.661
Kyle Higashioka RHB,Batting Ninth ​,="6-41",.146,.293,0.147,2,0,0,5,28.3,4,.239,.532
Elias Diaz RHB,Batting Ninth ​,="7-25",.280,.480,0.200,1,2,0,3,20.0,0,.280,.760
Nicky Lopez LHB,Batting Ninth ​,="10-35",.286,.400,0.114,1,1,0,4,17.5,2,.342,.742
