Matchup,TOR @ CHC
Pitcher,David Peterson
Pitcher Team,CHC
Opposing Team,TOR

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,13.2,1.17,="11-49",.224,.347,0.123,1,1,1,5,19.6,5,.321,.668
Batting Second,12.0,1.83,="13-48",.271,.458,0.187,2,3,0,10,22.8,9,.386,.844
Batting Third,13.1,0.90,="8-48",.167,.208,0.041,0,2,0,4,22.6,4,.226,.434
Batting Fourth,10.1,2.03,="11-40",.275,.500,0.225,1,4,1,8,17.3,10,.404,.904
Batting Fifth,12.0,1.17,="12-49",.245,.367,0.122,1,3,0,8,25.5,2,.275,.642
Batting Sixth,11.0,1.36,="13-46",.283,.435,0.152,1,2,1,6,16.3,2,.306,.741
Batting Seventh,10.0,1.60,="15-45",.333,.578,0.245,3,2,0,10,21.3,1,.340,.918
Batting Eighth,9.1,1.71,="12-39",.308,.385,0.077,0,1,1,2,4.4,4,.386,.771
Batting Ninth,9.0,1.89,="14-40",.350,.525,0.175,2,1,0,7,16.3,3,.395,.920

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
George Springer RHB,Batting First ​,="53-240",.221,.375,0.154,8,11,1,20,20.4,28,.309,.684
Nathan Lukes LHB,Batting Second ​,="30-116",.259,.345,0.086,3,1,0,6,12.8,12,.336,.681
Vladimir Guerrero Jr. RHB,Batting Third ​,="75-283",.265,.360,0.095,4,15,0,32,12.8,32,.343,.703
Jesus Sanchez LHB,Batting Fourth ​,="26-90",.289,.478,0.189,4,5,0,13,18.4,4,.306,.784
Kazuma Okamoto RHB,Batting Fourth ​,="35-161",.217,.385,0.168,8,3,0,28,30.4,16,.293,.678
Alejandro Kirk RHB,Batting Fifth ​,="17-75",.227,.373,0.146,3,2,0,8,17.6,10,.318,.691
Ernie Clement RHB,Batting Seventh ​,="29-100",.290,.410,0.120,2,6,0,11,8.7,2,.301,.711
Davis Schneider RHB,Batting Seventh ​,="3-33",.091,.242,0.151,1,2,0,3,34.1,9,.279,.521
Luis Urias RHB,Batting Eighth ​,="3-17",.176,.529,0.353,2,0,0,2,21.1,2,.263,.792
Andres Gimenez LHB,Batting Eighth ​,="40-178",.225,.354,0.129,5,8,0,25,18.7,5,.271,.625
Josh Smith LHB,Batting Eighth ​,="12-58",.207,.224,0.017,0,1,0,1,16.9,6,.292,.516
Myles Straw RHB,Batting Ninth ​,="9-45",.200,.333,0.133,0,4,1,3,2.0,3,.245,.578
Brandon Valenzuela SHB,Batting Ninth ​,="19-89",.213,.449,0.236,6,3,0,13,24.5,13,.314,.763
