Matchup,WSH @ ATH
Pitcher,Jacob Lopez
Pitcher Team,ATH
Opposing Team,WSH

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,6.2,2.55,="11-29",.379,.414,0.035,0,1,0,4,20.0,6,.486,.900
Batting Second,6.1,2.68,="10-28",.357,.750,0.393,3,2,0,7,8.6,7,.486,1.236
Batting Third,8.0,1.38,="9-32",.281,.500,0.219,2,1,0,8,11.4,2,.314,.814
Batting Fourth,6.1,1.89,="8-25",.320,.680,0.360,2,3,0,8,15.6,4,.375,1.055
Batting Fifth,6.2,1.20,="4-24",.167,.167,0.000,0,0,0,1,13.8,4,.286,.453
Batting Sixth,6.2,1.05,="3-23",.130,.391,0.261,2,0,0,2,22.2,4,.259,.650
Batting Seventh,4.2,2.14,="8-22",.364,.364,0.000,0,0,0,2,20.8,2,.417,.781
Batting Eighth,4.2,1.71,="6-20",.300,.550,0.250,1,2,0,2,22.7,2,.364,.914
Batting Ninth,4.2,1.93,="6-19",.316,.632,0.316,1,3,0,3,17.4,3,.409,1.041

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
James Wood LHB,Batting First ​,="104-374",.278,.570,0.292,28,23,1,66,28.9,80,.409,.979
Luis Garcia Jr. LHB,Batting Second ​,="72-241",.299,.593,0.294,17,14,3,57,15.9,10,.327,.920
Curtis Mead RHB,Batting Second ​,="32-127",.252,.504,0.252,7,9,1,18,17.4,15,.340,.844
Andres Chaparro RHB,Batting Third ​,="7-37",.189,.432,0.243,3,0,0,14,23.3,5,.302,.734
CJ Abrams LHB,Batting Fourth ​,="74-283",.261,.477,0.216,14,15,2,48,23.0,25,.328,.805
Dylan Crews RHB,Batting Fifth ​,="20-102",.196,.373,0.177,5,3,0,10,22.4,5,.234,.607
Harry Ford RHB,Batting Sixth ​,="2-5",.400,1.000,0.600,1,0,0,3,33.3,1,.500,1.500
Daylen Lile LHB,Batting Sixth ​,="29-140",.207,.400,0.193,6,7,1,17,21.9,6,.252,.652
Jacob Young RHB,Batting Sixth ​,="13-68",.191,.338,0.147,2,4,0,9,28.0,5,.267,.605
Jose Tena LHB,Batting Seventh ​,="16-59",.271,.373,0.102,0,4,1,5,26.5,8,.368,.741
Jorbit Vivas LHB,Batting Eighth ​,="16-70",.229,.314,0.085,1,3,0,6,10.1,6,.286,.600
Keibert Ruiz SHB,Batting Ninth ​,="30-121",.248,.380,0.132,2,10,0,14,14.8,5,.281,.661
Nasim Nuñez SHB,Batting Ninth ​,="30-102",.294,.353,0.059,0,0,3,3,23.9,12,.365,.718
