Matchup,WSH @ LAD
Pitcher,Blake Snell
Pitcher Team,LAD
Opposing Team,WSH

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,3.2,0.55,="2-13",.154,.231,0.077,0,1,0,2,35.7,0,.214,.445
Batting Second,3.1,1.20,="1-11",.091,.091,0.000,0,0,0,0,28.6,3,.286,.377
Batting Third,2.2,2.25,="3-11",.273,.273,0.000,0,0,0,2,21.4,3,.429,.702
Batting Fourth,3.2,0.82,="3-13",.231,.231,0.000,0,0,0,3,28.6,0,.214,.445
Batting Fifth,3.1,0.60,="1-11",.091,.091,0.000,0,0,0,1,33.3,1,.167,.258
Batting Sixth,3.1,0.30,="1-11",.091,.091,0.000,0,0,0,0,36.4,0,.091,.182
Batting Seventh,2.0,2.00,="2-8",.250,.375,0.125,0,1,0,0,50.0,2,.400,.775
Batting Eighth,2.0,1.50,="1-8",.125,.125,0.000,0,0,0,0,30.0,2,.300,.425
Batting Ninth,2.0,1.50,="2-8",.250,.375,0.125,0,1,0,0,40.0,1,.333,.708

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
James Wood LHB,Batting First ​,="117-441",.265,.533,0.268,30,26,1,73,28.6,90,.391,.924
Abimelec Ortiz LHB,Batting Second ​,="18-81",.222,.432,0.210,5,2,0,10,24.7,4,.259,.691
Andres Chaparro RHB,Batting Third ​,="15-72",.208,.444,0.236,5,2,0,18,22.5,7,.288,.732
Brady House RHB,Batting Third ​,="40-162",.247,.420,0.173,7,7,0,27,29.1,8,.285,.705
CJ Abrams LHB,Batting Fourth ​,="97-369",.263,.512,0.249,23,19,2,67,24.7,35,.332,.844
Dylan Crews RHB,Batting Fifth ​,="30-140",.214,.393,0.179,7,4,0,15,24.0,12,.286,.679
Yohandy Morales RHB,Batting Fifth ​,="3-5",.600,1.400,0.800,1,1,0,1,40.0,0,.600,2.000
Daylen Lile LHB,Batting Sixth ​,="36-177",.203,.379,0.176,7,8,1,20,22.0,9,.251,.630
Jose Tena LHB,Batting Seventh ​,="18-67",.269,.373,0.104,0,5,1,5,27.6,8,.355,.728
Harry Ford RHB,Batting Seventh ​,="6-34",.176,.265,0.089,1,0,0,1,25.6,5,.282,.547
Jorbit Vivas LHB,Batting Eighth ​,="27-110",.245,.336,0.091,1,5,1,11,12.3,15,.331,.667
Keibert Ruiz SHB,Batting Ninth ​,="33-133",.248,.376,0.128,2,11,0,15,13.5,6,.284,.660
Nasim Nuñez SHB,Batting Ninth ​,="39-155",.252,.297,0.045,0,1,3,6,18.9,15,.316,.613
Jacob Young RHB,Batting Ninth ​,="26-107",.243,.383,0.140,2,7,1,16,16.4,11,.320,.703
