Matchup,WSH @ MIA
Pitcher,Jake Irvin
Pitcher Team,WSH
Opposing Team,MIA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,10.1,0.77,="4-35",.114,.229,0.115,1,1,0,1,43.9,4,.244,.473
Batting Second,8.1,1.68,="9-35",.257,.429,0.172,2,0,0,2,17.5,5,.350,.779
Batting Third,7.1,2.18,="9-29",.310,.552,0.242,2,1,0,5,10.8,7,.432,.984
Batting Fourth,8.2,1.38,="8-32",.250,.563,0.313,2,4,0,7,32.4,4,.351,.914
Batting Fifth,6.2,2.10,="10-30",.333,.567,0.234,2,1,0,7,20.6,4,.412,.979
Batting Sixth,7.2,1.17,="6-28",.214,.321,0.107,0,3,0,3,25.0,3,.281,.602
Batting Seventh,7.2,0.91,="7-29",.241,.379,0.138,1,1,0,5,21.9,0,.281,.660
Batting Eighth,6.2,1.35,="7-27",.259,.407,0.148,1,1,0,6,20.0,2,.333,.740
Batting Ninth,7.0,1.14,="6-26",.231,.385,0.154,1,1,0,6,10.0,2,.300,.685

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jakob Marsee LHB,Batting First ​,="28-146",.192,.295,0.103,2,3,3,11,20.9,25,.316,.611
Otto Lopez RHB,Batting Third ​,="49-177",.277,.390,0.113,3,9,1,19,15.4,5,.303,.693
Agustin Ramirez RHB,Batting Third ​,="18-57",.316,.439,0.123,1,4,0,11,17.7,3,.355,.794
Xavier Edwards SHB,Batting Fourth ​,="47-177",.266,.328,0.062,1,6,1,21,11.7,32,.369,.697
Heriberto Hernandez RHB,Batting Fifth ​,="22-99",.222,.384,0.162,4,2,1,14,26.4,7,.274,.658
Griffin Conine LHB,Batting Sixth ​,="11-39",.282,.641,0.359,4,2,0,8,22.2,6,.378,1.019
Owen Caissie LHB,Batting Sixth ​,="21-108",.194,.352,0.158,4,5,0,21,34.7,10,.274,.626
Leo Jimenez RHB,Batting Seventh ​,="9-42",.214,.310,0.096,1,1,0,5,24.0,4,.340,.650
Deyvison De Los Santos RHB,Batting Eighth ​,="1-4",.250,.500,0.250,0,1,0,0,50.0,0,.250,.750
Joe Mack LHB,Batting Eighth ​,="22-114",.193,.360,0.167,5,4,0,16,21.0,8,.252,.612
Brian Navarreto RHB,Batting Ninth ​,="4-22",.182,.364,0.182,1,1,0,1,25.9,2,.280,.644
Esteury Ruiz RHB,Batting Ninth ​,="11-51",.216,.412,0.196,2,4,0,2,29.5,6,.333,.745
Javier Sanoja RHB,Batting Ninth ​,="43-142",.303,.437,0.134,2,13,0,15,8.6,8,.340,.777
