Matchup,WSH @ SF
Pitcher,Robbie Ray
Pitcher Team,SF
Opposing Team,WSH

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,9.0,1.33,="8-33",.242,.455,0.213,2,1,0,4,17.9,4,.308,.763
Batting Second,7.2,1.83,="9-32",.281,.625,0.344,3,0,1,5,16.2,5,.378,1.003
Batting Third,8.2,1.50,="6-30",.200,.267,0.067,0,2,0,1,8.1,7,.351,.618
Batting Fourth,7.1,1.64,="5-26",.192,.654,0.462,4,0,0,7,24.2,7,.364,1.018
Batting Fifth,6.2,1.80,="8-27",.296,.407,0.111,0,3,0,1,22.6,4,.387,.794
Batting Sixth,6.1,1.74,="10-28",.357,.643,0.286,2,2,0,4,31.0,1,.379,1.022
Batting Seventh,7.1,0.95,="5-26",.192,.346,0.154,1,1,0,1,37.9,2,.250,.596
Batting Eighth,7.2,0.78,="3-23",.130,.130,0.000,0,0,0,4,24.1,3,.214,.344
Batting Ninth,6.0,1.33,="5-22",.227,.455,0.228,1,2,0,3,19.2,3,.308,.763

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
James Wood LHB,Batting First ​,="70-258",.271,.527,0.256,17,15,0,41,30.0,55,.407,.934
Luis Garcia Jr. LHB,Batting Second ​,="45-164",.274,.500,0.226,7,10,3,34,16.0,5,.296,.796
Curtis Mead RHB,Batting Second ​,="19-83",.229,.446,0.217,4,6,0,11,14.1,14,.354,.800
Andres Chaparro RHB,Batting Third ​,="1-15",.067,.067,0.000,0,0,0,3,15.8,4,.263,.330
CJ Abrams LHB,Batting Fourth ​,="47-181",.260,.470,0.210,8,10,2,31,22.8,20,.345,.815
Dylan Crews RHB,Batting Fifth ​,="10-46",.217,.370,0.153,2,1,0,3,23.4,1,.234,.604
Jacob Young RHB,Batting Fifth ​,="10-53",.189,.302,0.113,2,0,0,6,12.3,4,.246,.548
Daylen Lile LHB,Batting Sixth ​,="22-83",.265,.482,0.217,4,4,1,11,23.3,5,.300,.782
Jose Tena LHB,Batting Seventh ​,="9-43",.209,.326,0.117,0,3,1,4,31.9,4,.277,.603
Jorbit Vivas LHB,Batting Seventh ​,="12-49",.245,.306,0.061,0,3,0,2,18.0,7,.367,.673
Drew Millas SHB,Batting Eighth ​,="12-65",.185,.308,0.123,2,2,0,5,21.6,7,.284,.592
Keibert Ruiz SHB,Batting Ninth ​,="19-78",.244,.385,0.141,1,8,0,8,16.0,2,.272,.657
Nasim Nuñez SHB,Batting Ninth ​,="12-62",.194,.226,0.032,0,0,1,2,26.8,6,.261,.487
