Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Luis Campusano,RHB,SD,Ronel Blanco,R,78.6,53.5,41.1,44.4,50
Ty France,RHB,SD,Ronel Blanco,R,8.8,51.7,37,66,46.6
Derek Hill,RHB,PHI,Jose Soriano,R,33.3,35.1,45.9,61,44.6
Jonathan Aranda,LHB,TB,Logan Gilbert,R,33.1,46.5,25.2,56.3,41.2
Bryce Eldridge,LHB,SF,Keider Montero,R,40.4,46.6,15.8,58.6,39.7
Griffin Conine,LHB,MIA,George Klassen,R,56.2,43.4,21.8,45.5,38.7
Victor Mesa Jr.,LHB,TB,Logan Gilbert,R,36,45.4,10.1,64.2,38.6
Cole Carrigg,SHB,COL,Kyle Leahy,R,47.9,15.9,34.3,65.2,36.9
Joe Mack,LHB,MIA,George Klassen,R,50,32.7,21.8,49.7,35.4
Randal Grichuk,RHB,CWS,Parker Messick,L,31.4,42.2,19.6,44.6,34.9
Pedro Pages,RHB,STL,Ryan Feltner,R,50.2,35.1,37.6,25.2,34.9
Junior Caminero,RHB,TB,Logan Gilbert,R,27.9,31.5,29.3,48.1,34.6
Seiya Suzuki,RHB,CHC,Daniel Lynch IV,L,33.6,26.1,21,59.3,33.6
Willy Adames,RHB,SF,Keider Montero,R,37.9,24.2,37.2,38.6,33.1
Liam Hicks,LHB,TB,Logan Gilbert,R,40.5,36.3,19.3,42.1,33.1
Jesus Sanchez,LHB,TOR,Zack Wheeler,R,17.6,35.9,28.5,40.6,33
Jonah Heim,SHB,ATH,Payton Tolle,L,26.9,33.5,33.5,33.5,32.8
Jeremy Pena,RHB,HOU,Robbie Ray,L,24.9,33.8,26.2,42.1,32.7
Leo Jimenez,RHB,MIA,George Klassen,R,14.5,66.1,,32.3,32.7
Owen Caissie,LHB,MIA,George Klassen,R,37,34.5,22.3,39.4,32.3
Jake McCarthy,LHB,COL,Kyle Leahy,R,46.1,34.3,11.1,49.6,32.3
TJ Rumfield,LHB,COL,Kyle Leahy,R,26.3,30.4,20.1,50.1,31.8
Mickey Moniak,LHB,COL,Kyle Leahy,R,36.3,25.7,18.2,54.8,31.8
Kyle Stowers,LHB,MIA,George Klassen,R,32.7,30.2,21.8,44.6,31.5
Henry Bolte,RHB,ATH,Payton Tolle,L,32.1,23.1,23.1,52.6,31.4
Kody Clemens,LHB,MIN,Shane Drohan,L,21.9,25.6,23.4,51.8,31.1
James McCann,RHB,ARI,Roki Sasaki,R,50.3,18,32.6,37.8,30.6
Kyle Karros,RHB,COL,Kyle Leahy,R,59.7,20.6,24.6,39,30.3
Kyle Schwarber,LHB,PHI,Jose Soriano,R,32.4,25.2,25.2,42.4,30.2
Willson Contreras,RHB,BOS,Jack Perkins,R,30.1,25.7,29.1,37.5,30.1
Christian Yelich,LHB,MIL,Zebby Matthews,R,34.1,23.7,19.5,49.7,30
